Métier,Catégorie,Description_FR
Data Architect,Data & IA,"Data Architect : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Engineer,Data & IA,"Data Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Engineering Manager,Data & IA,"Data Engineering Manager : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Science Consultant,Data & IA,"Data Science Consultant : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Science Engineer,Data & IA,"Data Science Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Science Manager,Data & IA,"Data Science Manager : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Scientist,Data & IA,"Data Scientist : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Specialist,Data & IA,"Data Specialist : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Database Administrator,Data & IA,"Database Administrator : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
DevOps Engineer,DevOps / Cloud,"DevOps Engineer : automatise le déploiement et assure la fiabilité des infrastructures cloud. Compétences et technologies clés : AWS, Docker, Kubernetes, CI/CD, Terraform, Linux, Monitoring, Infrastructure as Code."
Director of Data Engineering,Data & IA,"Director of Data Engineering : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Director of Data Science,Data & IA,"Director of Data Science : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Django Developer,Développement Web,"Django Developer : crée des sites ou applications web côté front‑end et/ou back‑end. Compétences et technologies clés : JavaScript, HTML, CSS, React, Node.js, Django, PHP, REST API, TypeScript."
ETL Developer,Base de données / BI,"ETL Developer : gère l’architecture, l’intégration et l’optimisation des bases de données et flux BI. Compétences et technologies clés : SQL, NoSQL, ETL, Data Warehouse, Reporting, Power BI, Tableau, Optimization."
Finance Data Analyst,Data & IA,"Finance Data Analyst : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Financial Data Analyst,Data & IA,"Financial Data Analyst : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Flutter Developer,Développement Mobile,"Flutter Developer : conçoit et développe des applications mobiles performantes pour iOS ou Android. Compétences et technologies clés : Flutter, iOS, Android, Kotlin, Swift, React Native, API REST, Mobile UI."
Full Stack Developer,Développement Web,"Full Stack Developer : crée des sites ou applications web côté front‑end et/ou back‑end. Compétences et technologies clés : JavaScript, HTML, CSS, React, Node.js, Django, PHP, REST API, TypeScript."
Head of Data,Data & IA,"Head of Data : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Head of Data Science,Data & IA,"Head of Data Science : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Head of Machine Learning,Data & IA,"Head of Machine Learning : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Java Developer,Développement Web,"Java Developer : crée des sites ou applications web côté front‑end et/ou back‑end. Compétences et technologies clés : JavaScript, HTML, CSS, React, Node.js, Django, PHP, REST API, TypeScript."
JavaScript Developer,Développement Web,"JavaScript Developer : crée des sites ou applications web côté front‑end et/ou back‑end. Compétences et technologies clés : JavaScript, HTML, CSS, React, Node.js, Django, PHP, REST API, TypeScript."
Lead Data Analyst,Data & IA,"Lead Data Analyst : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Lead Data Engineer,Data & IA,"Lead Data Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Lead Data Scientist,Data & IA,"Lead Data Scientist : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Lead Machine Learning Engineer,Data & IA,"Lead Machine Learning Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
ML Engineer,Data & IA,"ML Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Machine Learning,Data & IA,"Machine Learning : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Machine Learning Developer,Data & IA,"Machine Learning Developer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Machine Learning Engineer,Data & IA,"Machine Learning Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Machine Learning Infrastructure Engineer,Data & IA,"Machine Learning Infrastructure Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Machine Learning Manager,Data & IA,"Machine Learning Manager : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Machine Learning Scientist,Data & IA,"Machine Learning Scientist : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Marketing Data Analyst,Data & IA,"Marketing Data Analyst : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
NLP Engineer,Ingénierie Logicielle,"NLP Engineer : conçoit, développe et maintient des solutions logicielles robustes. Compétences et technologies clés : C++, Java, Design Patterns, Testing, Version Control, Agile, OOP."
Network Administrator,Infrastructure / Réseau,"Network Administrator : déploie, sécurise et supervise les réseaux et systèmes d’entreprise. Compétences et technologies clés : Networking, TCP/IP, Firewall, Cisco, Routing, Switching, VPN, Monitoring."
Node js developer,Développement Web,"Node js developer : crée des sites ou applications web côté front‑end et/ou back‑end. Compétences et technologies clés : JavaScript, HTML, CSS, React, Node.js, Django, PHP, REST API, TypeScript."
PHP Developer,Développement Web,"PHP Developer : crée des sites ou applications web côté front‑end et/ou back‑end. Compétences et technologies clés : JavaScript, HTML, CSS, React, Node.js, Django, PHP, REST API, TypeScript."
Principal Data Analyst,Data & IA,"Principal Data Analyst : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Principal Data Engineer,Data & IA,"Principal Data Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Principal Data Scientist,Data & IA,"Principal Data Scientist : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Product Data Analyst,Data & IA,"Product Data Analyst : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Product Manager,Produit / Gestion,"Product Manager : définit la vision produit, priorise les fonctionnalités et coordonne les équipes. Compétences et technologies clés : Roadmap, Agile, Scrum, Stakeholders, Backlog, KPIs, User Stories."
Research Scientist,Ingénierie Logicielle,"Research Scientist : conçoit, développe et maintient des solutions logicielles robustes. Compétences et technologies clés : C++, Java, Design Patterns, Testing, Version Control, Agile, OOP."
Software Engineer,Ingénierie Logicielle,"Software Engineer : conçoit, développe et maintient des solutions logicielles robustes. Compétences et technologies clés : C++, Java, Design Patterns, Testing, Version Control, Agile, OOP."
Staff Data Scientist,Data & IA,"Staff Data Scientist : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
UX Designer,Produit / Design,"UX Designer : imagine et conçoit des expériences utilisateur et interfaces intuitives. Compétences et technologies clés : UX Research, Wireframes, Figma, Prototyping, Design System, User Testing, Accessibility."
Wordpress Developer,Développement Web,"Wordpress Developer : crée des sites ou applications web côté front‑end et/ou back‑end. Compétences et technologies clés : JavaScript, HTML, CSS, React, Node.js, Django, PHP, REST API, TypeScript."
iOS Developer,Développement Mobile,"iOS Developer : conçoit et développe des applications mobiles performantes pour iOS ou Android. Compétences et technologies clés : Flutter, iOS, Android, Kotlin, Swift, React Native, API REST, Mobile UI."
Expert Cybersécurité,Cybersécurité,"Expert Cybersécurité : protège les systèmes, réalise des audits, gère les incidents. Compétences et technologies clés : Sécurité réseau, ISO 27001, SOC, Pentest, SIEM, Firewall, Threat Intelligence."
Ingénieur Cloud,DevOps / Cloud,"Ingénieur Cloud : conçoit et administre des architectures cloud. Compétences et technologies clés : AWS, Azure, GCP, Terraform, Kubernetes, Networking, Sécurité cloud, CI/CD."
Chef de Projet IT (PMO),Produit / Gestion,"Chef de Projet IT / PMO : pilote la planification, les budgets et la livraison des projets numériques. Compétences et technologies clés : Gestion de projet, Agile, Roadmap, Reporting, JIRA, Conduite du changement."
Développeur Frontend,Développement Web,"Développeur Frontend : développe l’interface utilisateur et améliore l’expérience client. Compétences et technologies clés : JavaScript, React, Angular, Vue, HTML, CSS, TypeScript, API REST."
Frontend Developer,Développement Web,"Frontend Developer : crée et maintient les interfaces utilisateur (HTML, CSS, JavaScript, React, Vue)."
Backend Developer,Développement Web,"Backend Developer : développe les fonctionnalités côté serveur et gère les bases de données (Node.js, Java, Python)."
Full Stack Developer,Développement Web,Full Stack Developer : travaille sur le front-end et le back-end des applications web.
PHP Developer,Développement Web,"PHP Developer : crée des sites web et applications côté serveur avec PHP et frameworks (Symfony, Laravel)."
Ruby on Rails Developer,Développement Web,Ruby on Rails Developer : développe des applications web en utilisant Ruby on Rails.
Android Developer,Développement Mobile,"Android Developer : développe des applications mobiles pour Android (Java, Kotlin)."
iOS Developer,Développement Mobile,"iOS Developer : développe des applications mobiles pour iOS (Swift, Objective-C)."
React Native Developer,Développement Mobile,React Native Developer : crée des applications mobiles hybrides avec React Native.
WordPress Developer,Développement Web,WordPress Developer : développe des sites web et thèmes avec WordPress.
Software Engineer,Développement Web,Software Engineer : conçoit et développe des logiciels ou des systèmes complexes.
Cloud Engineer,DevOps / Cloud,"Cloud Engineer : conçoit, déploie et gère les infrastructures cloud (AWS, Azure, GCP)."
Cloud Architect,DevOps / Cloud,Cloud Architect : définit l’architecture cloud et les solutions adaptées aux besoins de l’entreprise.
Site Reliability Engineer (SRE),DevOps / Cloud,"SRE : assure la fiabilité, la scalabilité et la performance des systèmes."
Platform Engineer,DevOps / Cloud,Platform Engineer : développe et maintient les plateformes d’hébergement pour les développeurs.
Cybersecurity Analyst,Cybersécurité,Cybersecurity Analyst : analyse les systèmes pour identifier et prévenir les menaces de sécurité.
Ethical Hacker / Pentester,Cybersécurité,Ethical Hacker / Pentester : teste les systèmes pour identifier les failles de sécurité.
Security Engineer,Cybersécurité,Security Engineer : conçoit et met en place des solutions de sécurité pour protéger les systèmes.
UX Designer,Design,UX Designer : conçoit des expériences utilisateurs intuitives et agréables.
UI Designer,Design,"UI Designer : crée les interfaces graphiques (couleurs, typographies, maquettes)."
Product Designer,Design,"Product Designer : allie UX, UI et stratégie produit pour concevoir des interfaces complètes."
Game Designer,Design / Jeux vidéo,Game Designer : conçoit les mécaniques de jeu et l’expérience des joueurs.
Motion Designer,Design,Motion Designer : crée des animations et vidéos pour illustrer des concepts.
